,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2020-01-01,151.58868586673105,152.32235898968943,151.35778179622906,151.5801424590337,151.5801424590337,7232190,199.9902169271597,202.00938668833751,199.00328777804333,200.2734881866028,200.2734881866028,2674104,52.387113599018946,52.458568243127544,51.916641770485306,52.418328402746816,52.418328402746816,5508739
2020-01-02,151.24916956348912,151.25996482953582,150.20506199024473,151.25192809513857,151.25192809513857,12831900,197.0550210933227,198.07818346360756,196.487677631927,196.71474065861497,196.71474065861497,5470966,51.7369260879823,51.897433621052826,51.2179530351547,51.636509510681186,51.636509510681186,10403167
2020-01-03,153.63490189751218,154.87088645218304,151.8532216229507,153.3019620558527,153.3019620558527,9920337,192.51345661008222,194.4336658187966,191.6703809590407,192.5214921734128,192.5214921734128,12862516,49.9759301688737,50.22914680108637,49.6756367248881,49.83634453972719,49.83634453972719,3979772
2020-01-06,158.21367757333513,159.43636801987657,156.984764400451,158.0636125382261,158.0636125382261,14031499,193.06817590167705,193.76627402494552,191.44161892094905,193.74385360113067,193.74385360113067,10275104,51.300131429845486,51.60836385587254,51.04065299345919,51.30838420385055,51.30838420385055,13529756
2020-01-07,157.4103487408105,158.28153986897692,156.88834950214658,157.41822813981327,157.41822813981327,4154828,190.8176206091809,191.88837235226796,189.67912367583938,191.31520604593663,191.31520604593663,4013491,50.4089470209696,50.46507932354121,50.0306203487117,50.43145891344013,50.43145891344013,12272045
2020-01-08,157.03194206949024,157.13631072072067,155.9907446977285,156.7755305785974,156.7755305785974,7778728,191.08300960697179,192.4037746363771,189.69869273683253,191.21221325488415,191.21221325488415,8819678,50.45204786296279,50.82188485126098,50.354574442176094,50.49294392989124,50.49294392989124,10323274
2020-01-09,162.27116464131214,163.5149975393396,160.77631420167307,161.8212344378984,161.8212344378984,13981953,197.35735903394527,198.28353720838425,196.5110730926125,196.87582103233575,196.87582103233575,11514129,51.89986178487639,52.15358762900722,51.84695222935734,51.863339867363,51.863339867363,2492461
2020-01-10,164.5854822231658,165.54619004633562,163.56268355263074,164.40207188300192,164.40207188300192,7293348,202.14083059125113,202.73843493128314,200.19151021688427,202.5023112293029,202.5023112293029,7111179,55.751345057414184,56.05067849354734,55.11018964159288,55.58393402720697,55.58393402720697,5424844
2020-01-13,162.9604359562827,164.23472134406296,162.76159010176067,162.9570618912576,162.9570618912576,11421996,210.48521713436662,211.48526339252396,209.63468735446492,210.71029812823076,210.71029812823076,8912690,56.52919835348451,57.140197842312084,56.451442295590596,56.6682664046126,56.6682664046126,14624442
2020-01-14,164.39067406960058,166.06216875729498,163.87766988306828,164.8231159404396,164.8231159404396,4784975,217.1185570266493,217.17380749697602,215.60835271800005,217.02691774624893,217.02691774624893,12057816,57.156774845282584,57.3523804440865,56.62359756620669,57.1317337367635,57.1317337367635,5137731
2020-01-15,163.04630369405913,164.7064310311484,161.73802662525358,163.39437084777828,163.39437084777828,10371223,225.766758001963,227.97875081253804,225.72415072461192,226.52278457124672,226.52278457124672,2139244,54.96640829446345,55.0620779389774,54.44507923918228,54.94708017252689,54.94708017252689,4827585
2020-01-16,161.8715803003677,162.80947509134202,160.47718929616033,161.97045506889287,161.97045506889287,13471970,228.5523451162358,230.5927291341043,228.12513893912265,228.41595644974782,228.41595644974782,7794526,57.044288004592836,57.56678669948152,56.78148471982345,57.25087056999546,57.25087056999546,12084769
2020-01-17,162.6529322322142,163.07997264220313,162.42960970304654,162.85145212663528,162.85145212663528,10840597,224.12328756055467,226.80675790550464,222.3705666450384,224.81740684655844,224.81740684655844,2721673,58.02378066814523,58.67626446082096,57.555655416899064,58.126952024197095,58.126952024197095,14781162
2020-01-20,156.6589503041343,157.76937524814136,155.1669512149908,156.71755367455674,156.71755367455674,11208163,221.13207462394035,222.67899183169524,218.74344804802345,220.8815136105765,220.8815136105765,7372654,57.400374973807224,57.776503754719194,57.19190183652791,57.47883831363464,57.47883831363464,7506389
2020-01-21,151.42224032025874,152.36177562618434,150.9072319789166,151.40508614674025,151.40508614674025,6859382,226.17713252915544,227.5987519657771,225.45324050458495,226.54357949268604,226.54357949268604,5427635,56.716718086434476,57.18855136895657,56.14414702917093,56.6301838206607,56.6301838206607,9576964
2020-01-22,149.95195417697673,151.06497733612267,148.80116398616076,149.79326536234896,149.79326536234896,6912301,226.43993260439805,228.02900571423055,226.35574057325522,226.8673730318129,226.8673730318129,14500513,55.9853272139632,56.4091540867678,55.419553881407616,55.88038932900575,55.88038932900575,7030419
2020-01-23,146.828130379103,147.0983039855276,145.72423957357483,146.84883570605635,146.84883570605635,10126492,227.61999919590727,227.93165382198526,226.6749223320254,227.4958789801459,227.4958789801459,4591090,55.812131597906834,56.31263806901933,55.76830881091824,56.02225746102095,56.02225746102095,14152980
2020-01-24,148.00375025718782,148.2923208651117,146.659339360489,147.85988210578697,147.85988210578697,5077026,225.7190908858869,226.48883156824104,225.32185515187888,225.36122154365648,225.36122154365648,2489922,53.28552286324756,53.630575812346116,52.90744338344821,53.21748940309535,53.21748940309535,9207294
